"Markettype","Trdwnt","Cwretmdos"
"5","2017-01","0.017971"
"10","2017-01","0.004658"
"15","2017-01","0.017900"
"21","2017-01","0.017036"
"31","2017-01","0.016975"
"37","2017-01","0.017971"
"47","2017-01","0.017900"
"53","2017-01","0.017036"
"63","2017-01","0.016975"
"5","2017-02","-0.016516"
"10","2017-02","-0.015983"
"15","2017-02","-0.016514"
"21","2017-02","-0.018476"
"31","2017-02","-0.018464"
"37","2017-02","-0.016516"
"47","2017-02","-0.016514"
"53","2017-02","-0.018476"
"63","2017-02","-0.018464"
"5","2017-03","-0.000548"
"10","2017-03","-0.010969"
"15","2017-03","-0.000603"
"21","2017-03","-0.002070"
"31","2017-03","-0.002113"
"37","2017-03","-0.000548"
"47","2017-03","-0.000603"
"53","2017-03","-0.002070"
"63","2017-03","-0.002113"
"5","2017-04","0.013777"
"10","2017-04","0.011550"
"15","2017-04","0.013765"
"21","2017-04","0.013826"
"31","2017-04","0.013815"
"37","2017-04","0.013777"
"47","2017-04","0.013765"
"53","2017-04","0.013826"
"63","2017-04","0.013815"
"5","2017-05","-0.005529"
"10","2017-05","-0.009991"
"15","2017-05","-0.005552"
"21","2017-05","-0.005523"
"31","2017-05","-0.005544"
"37","2017-05","-0.005529"
"47","2017-05","-0.005552"
"53","2017-05","-0.005523"
"63","2017-05","-0.005544"
"10","2017-06","0.014894"
"5","2017-06","0.019616"
"15","2017-06","0.019593"
"21","2017-06","0.019850"
"31","2017-06","0.019827"
"37","2017-06","0.019616"
"47","2017-06","0.019593"
"53","2017-06","0.019850"
"63","2017-06","0.019827"
"10","2017-07","0.008493"
"5","2017-07","0.000123"
"15","2017-07","0.000165"
"21","2017-07","-0.000642"
"31","2017-07","-0.000599"
"37","2017-07","0.000123"
"47","2017-07","0.000165"
"53","2017-07","-0.000642"
"63","2017-07","-0.000599"
"10","2017-08","0.017548"
"5","2017-08","0.017543"
"15","2017-08","0.017543"
"21","2017-08","0.018814"
"31","2017-08","0.018808"
"37","2017-08","0.017543"
"47","2017-08","0.017543"
"53","2017-08","0.018814"
"63","2017-08","0.018808"
"10","2017-09","-0.000907"
"5","2017-09","-0.010640"
"15","2017-09","-0.010592"
"21","2017-09","-0.009809"
"31","2017-09","-0.009768"
"37","2017-09","-0.010640"
"47","2017-09","-0.010592"
"53","2017-09","-0.009809"
"63","2017-09","-0.009768"
"10","2017-10","-0.007009"
"5","2017-10","-0.001077"
"15","2017-10","-0.001107"
"21","2017-10","-0.000033"
"31","2017-10","-0.000066"
"37","2017-10","-0.001077"
"47","2017-10","-0.001107"
"53","2017-10","-0.000033"
"63","2017-10","-0.000066"
"10","2017-11","0.010204"
"5","2017-11","0.006117"
"15","2017-11","0.006138"
"21","2017-11","0.006424"
"31","2017-11","0.006442"
"37","2017-11","0.006117"
"47","2017-11","0.006138"
"53","2017-11","0.006424"
"63","2017-11","0.006442"
"10","2017-12","-0.008335"
"5","2017-12","0.010287"
"15","2017-12","0.010193"
"21","2017-12","0.010015"
"31","2017-12","0.009929"
"37","2017-12","0.010287"
"47","2017-12","0.010193"
"53","2017-12","0.010015"
"63","2017-12","0.009929"
"10","2017-13","-0.015590"
"5","2017-13","-0.013464"
"15","2017-13","-0.013475"
"21","2017-13","-0.015628"
"31","2017-13","-0.015628"
"37","2017-13","-0.013464"
"47","2017-13","-0.013475"
"53","2017-13","-0.015628"
"63","2017-13","-0.015628"
"10","2017-14","0.019541"
"5","2017-14","0.021762"
"15","2017-14","0.021751"
"21","2017-14","0.022019"
"31","2017-14","0.022008"
"37","2017-14","0.021762"
"47","2017-14","0.021751"
"53","2017-14","0.022019"
"63","2017-14","0.022008"
"10","2017-15","-0.009102"
"5","2017-15","-0.010481"
"15","2017-15","-0.010475"
"21","2017-15","-0.012401"
"31","2017-15","-0.012386"
"37","2017-15","-0.010481"
"47","2017-15","-0.010475"
"53","2017-15","-0.012401"
"63","2017-15","-0.012386"
"10","2017-16","-0.010330"
"5","2017-16","-0.023732"
"15","2017-16","-0.023666"
"21","2017-16","-0.025267"
"31","2017-16","-0.025198"
"37","2017-16","-0.023732"
"47","2017-16","-0.023666"
"53","2017-16","-0.025267"
"63","2017-16","-0.025198"
"10","2017-17","-0.012672"
"5","2017-17","-0.008703"
"15","2017-17","-0.008723"
"21","2017-17","-0.007571"
"31","2017-17","-0.007595"
"37","2017-17","-0.008703"
"47","2017-17","-0.008723"
"53","2017-17","-0.007571"
"63","2017-17","-0.007595"
"10","2017-18","-0.016419"
"5","2017-18","-0.017985"
"15","2017-18","-0.017977"
"21","2017-18","-0.017836"
"31","2017-18","-0.017830"
"37","2017-18","-0.017985"
"47","2017-18","-0.017977"
"53","2017-18","-0.017836"
"63","2017-18","-0.017830"
"10","2017-19","-0.018062"
"5","2017-19","-0.012209"
"15","2017-19","-0.012239"
