,obs,coef,beta,coef_tvalue,beta_tvalue,coef_pvalue,beta_pvalue,Rsquared,adj_Rsquared
port_1,69.0,-0.000507569272416469,1.0103199177121536,-0.37661881594129476,21.561772841115307,0.7076470195169622,7.473786508880788e-32,0.8740388525364575,0.872158835410136
port_2,69.0,-0.0003590684153755311,1.0443187894401027,-0.28961021157810735,24.22638519435893,0.7730088010490925,7.30332957019184e-35,0.8975406294337968,0.8960113850969877
port_3,69.0,0.00018485422461621487,1.0675290902839765,0.12798668308048017,21.258566819825756,0.8985428960088723,1.713279643858654e-31,0.8708873435360226,0.8689602889619333
port_4,69.0,0.00022933122837819346,1.0775822004887268,0.15361028509930572,20.7599530698287,0.878378760013897,6.834723371368472e-31,0.8654552691414445,0.8634471388301228
port_5,69.0,0.0001648268730039561,1.1667047031790487,0.09957347164055658,20.27194590163641,0.9209802928841665,2.711422681267367e-30,0.8598184977810381,0.8577262365538895
port_6,69.0,0.0007372265161393959,1.181153073937032,0.41396945651678585,19.076223271635634,0.6802187085053533,8.803262102402807e-29,0.844512315471895,0.8421916037625203
port_7,69.0,0.0006841013287594741,1.2306664352406833,0.38239067099406726,19.78545631167199,0.7033819371720301,1.0972092837592895e-29,0.8538599347663955,0.8516787397629089
port_8,69.0,0.0004732364512056344,1.2487880993161709,0.22886765677700832,17.370561053514525,0.8196689371101568,1.6518071206660598e-26,0.8182983790635183,0.815586414571929
port_9,69.0,3.204009990456563e-05,1.2367247935554562,0.018519429597517303,20.560121296665827,0.9852795179786922,1.1982098671736464e-30,0.8631867327926596,0.8611447437298634
port_10,69.0,-0.0009534507611869942,1.309439540217113,-0.4994653054578396,19.729285956062512,0.6190878683903528,1.29142908437402e-29,0.8531489868787052,0.8509571807127158
