,小市值策略回报,市场平均回报,下月中证500回报,下月沪深300回报,下月上证50回报,小市值策略所选股票
2006-01-25,0.0605672,0.03957138016528928,0.0,0.043,0.05421,600065|600340|600532|600562|600566|600766|600882|000018|000711|000918
2006-02-28,-0.048156,0.006363748127340817,0.0,0.007670999999999999,-0.016281999999999998,600137|600234|600286|600691|600762|600847|600892|000156|000736|000805
2006-03-31,-0.11200619999999999,0.07090409952153107,0.0,0.104854,0.098,600137|600234|600286|600629|600691|600745|600762|600847|000583|000805
2006-04-28,0.38306280000000004,0.25787153388090317,0.0,0.164716,0.11863499999999999,600137|600234|600385|600681|600691|600721|600745|000035|000863|000979
2006-05-31,0.11269889999999998,0.058020343936381766,0.0,0.020881,0.022091,600137|600234|600691|600711|600745|600892|000035|000736|000863|000979
2006-06-30,0.0560809,-0.03606254780876496,0.0,-0.071476,-0.074504,600137|600242|600385|600419|600691|600745|000555|000672|000732|000863
2006-07-31,-0.03421780000000001,0.033351732673267284,0.0,0.034276999999999995,0.027472000000000003,600234|600242|600419|600691|600703|600721|600745|600847|000035|000863
2006-08-31,0.2349456,0.05340409792531121,0.0,0.048234,0.06403099999999999,600234|600419|600691|600703|600721|600745|600847|000035|000863|000979
2006-09-29,-0.013335300000000005,-0.001353686065573771,0.0,0.043618000000000004,0.070022,600234|600419|600691|600745|600847|000004|000008|000035|000555|000979
2006-10-31,0.013974700000000001,0.045022574074074104,0.0,0.170631,0.193801,600234|600385|600419|600691|600721|600745|600847|000863|000979|002016
2006-11-30,0.027257600000000003,0.05429765632458228,0.0,0.19056099999999998,0.26669899999999996,600234|600242|600419|600691|600703|600745|600847|000555|000863|000979
2006-12-29,0.23364790000000002,0.24156362314049598,0.078706,0.168682,0.137146,600242|600385|600419|600703|600745|600847|600892|000008|000555|000732
2007-01-31,0.3119592,0.18948432953620795,0.172964,0.066756,0.021102000000000003,600242|600703|600745|600847|000035|000555|000732|000979|002016|002042
2007-02-28,0.2325194,0.17402165181818188,0.164124,0.093223,0.091611,600242|600703|600711|600892|000008|000555|000732|000863|000979|002016
2007-03-30,0.3011857,0.33319497538461557,0.334109,0.27929,0.20520500000000003,600242|600703|600711|600847|000008|000555|000732|000863|000979|002016
