"MarkettypeID","TradingMonth","HML1"
"P9706","2006-01","-0.004884"
"P9707","2006-01","0.051720"
"P9710","2006-01","-0.012410"
"P9709","2006-01","-0.004884"
"P9712","2006-01","-0.004884"
"P9714","2006-01","-0.004884"
"P9715","2006-01","-0.012410"
"P9713","2006-01","-0.012410"
"P9706","2006-02","0.000704"
"P9707","2006-02","-0.011129"
"P9710","2006-02","-0.001753"
"P9709","2006-02","0.000704"
"P9712","2006-02","0.000704"
"P9714","2006-02","0.000704"
"P9715","2006-02","-0.001753"
"P9713","2006-02","-0.001753"
"P9706","2006-03","-0.007200"
"P9707","2006-03","-0.054693"
"P9710","2006-03","-0.014392"
"P9709","2006-03","-0.007200"
"P9712","2006-03","-0.007200"
"P9714","2006-03","-0.007200"
"P9715","2006-03","-0.014392"
"P9713","2006-03","-0.014392"
"P9706","2006-04","0.035216"
"P9707","2006-04","-0.071978"
"P9710","2006-04","0.030371"
"P9709","2006-04","0.035216"
"P9712","2006-04","0.035216"
"P9714","2006-04","0.035216"
"P9715","2006-04","0.030371"
"P9713","2006-04","0.030371"
"P9706","2006-05","-0.013383"
"P9707","2006-05","-0.001171"
"P9710","2006-05","-0.007043"
"P9709","2006-05","-0.013383"
"P9712","2006-05","-0.013383"
"P9714","2006-05","-0.013383"
"P9715","2006-05","-0.007043"
"P9713","2006-05","-0.007043"
"P9706","2006-06","-0.008172"
"P9707","2006-06","0.008609"
"P9710","2006-06","-0.004349"
"P9709","2006-06","-0.008172"
"P9712","2006-06","-0.008172"
"P9714","2006-06","-0.008172"
"P9715","2006-06","-0.004349"
"P9713","2006-06","-0.004349"
"P9706","2006-07","-0.009609"
"P9707","2006-07","-0.038656"
"P9710","2006-07","-0.014063"
"P9709","2006-07","-0.009609"
"P9712","2006-07","-0.009609"
"P9714","2006-07","-0.009609"
"P9715","2006-07","-0.014063"
"P9713","2006-07","-0.014063"
"P9706","2006-08","-0.022067"
"P9707","2006-08","-0.023278"
"P9710","2006-08","-0.020201"
"P9709","2006-08","-0.022067"
"P9712","2006-08","-0.022067"
"P9714","2006-08","-0.022067"
"P9715","2006-08","-0.020201"
"P9713","2006-08","-0.020201"
"P9706","2006-09","-0.031227"
"P9707","2006-09","0.166546"
"P9710","2006-09","-0.019750"
"P9709","2006-09","-0.031227"
"P9712","2006-09","-0.031227"
"P9714","2006-09","-0.031227"
"P9715","2006-09","-0.019750"
"P9713","2006-09","-0.019750"
"P9706","2006-10","0.037411"
"P9707","2006-10","-0.020995"
"P9710","2006-10","0.032909"
"P9709","2006-10","0.037411"
"P9712","2006-10","0.037411"
"P9714","2006-10","0.037411"
"P9715","2006-10","0.032909"
"P9713","2006-10","0.032909"
"P9706","2006-11","0.006660"
"P9707","2006-11","-0.049944"
"P9710","2006-11","0.001603"
"P9709","2006-11","0.006660"
"P9712","2006-11","0.006660"
"P9714","2006-11","0.006660"
"P9715","2006-11","0.001603"
"P9713","2006-11","0.001603"
"P9706","2006-12","-0.002068"
"P9707","2006-12","-0.055422"
"P9710","2006-12","-0.004154"
"P9709","2006-12","-0.002068"
"P9712","2006-12","-0.002068"
"P9714","2006-12","-0.002068"
"P9715","2006-12","-0.004154"
"P9713","2006-12","-0.004154"
"P9706","2007-01","-0.002018"
"P9707","2007-01","0.056392"
"P9710","2007-01","0.002234"
"P9709","2007-01","-0.002018"
