year,code,date,circulate,return1,return2,type,mean_mv,SB
2006,000001,2006-06-01,10654776.46,-0.138952,-0.138952,4,666109.13,2
2007,000001,2007-06-01,42661167.9,0.055417,0.055455,4,1683360.0,2
2008,000001,2008-06-01,41404945.23,-0.233849,-0.233849,4,1378859.24,2
2009,000001,2009-06-01,63794579.75,0.223094,0.223094,4,2142864.36,2
2010,000001,2010-06-01,54374986.71,0.0,0.0,4,2400832.35,2
2011,000001,2011-06-01,53008469.78,-0.033409,-0.033409,4,3388720.185,2
2012,000001,2012-06-01,47077237.47,-0.033779,-0.033779,4,2520976.5300000003,2
2013,000001,2013-06-01,49536681.53,-0.232797,-0.23192,4,2494599.06,2
2014,000001,2014-06-01,66308390.92,0.048286,0.048,4,3496611.82,2
2015,000001,2015-06-01,171630953.58,-0.050914,-0.050914,4,8414587.47,2
2016,000001,2016-06-01,127291269.37,0.004295,0.004076,4,6419702.33,2
2017,000001,2017-06-01,158859922.82,0.020652,0.020652,4,5528310.125,2
2018,000001,2018-06-01,156077543.17,-0.107073,-0.107073,4,4026835.105,2
2019,000001,2019-06-01,236606000.53,0.143633,0.143268,4,4378639.125,2
2020,000001,2020-06-01,248393634.3,-0.015385,-0.015385,4,4823275.33,2
2006,000002,2006-06-01,16511068.89,-0.053601,-0.053601,4,666109.13,2
2007,000002,2007-06-01,93332479.95,-0.014941,-0.014941,4,1683360.0,2
2008,000002,2008-06-01,84818863.42,-0.265772,-0.265013,4,1378859.24,2
2009,000002,2009-06-01,119749210.1,0.314909,0.314168,4,2142864.36,2
2010,000002,2010-06-01,65468221.79,-0.059639,-0.059639,4,2400832.35,2
2011,000002,2011-06-01,81614986.85,0.077806,0.077806,4,3388720.185,2
2012,000002,2012-06-01,86086890.74,-0.036757,-0.036757,4,2520976.5300000003,2
2013,000002,2013-06-01,95172620.52,-0.177796,-0.177796,4,2494599.06,2
2014,000002,2014-06-01,79986721.25,-0.032749,-0.032749,4,3496611.82,2
2015,000002,2015-06-01,141101230.99,0.011847,0.011847,4,8414587.47,2
2017,000002,2017-06-01,242435421.94,0.174506,0.174506,4,5528310.125,2
2018,000002,2018-06-01,238993183.06,-0.038687,-0.038687,4,4026835.105,2
2019,000002,2019-06-01,270178878.9,0.041573,0.041573,4,4378639.125,2
2020,000002,2020-06-01,253954544.92,0.017121,0.017121,4,4823275.33,2
2006,000004,2006-06-01,199953.56,0.016949,0.016949,4,666109.13,1
2007,000004,2007-06-01,342528.24,-0.379412,-0.379412,4,1683360.0,1
2008,000004,2008-06-01,309674.94,-0.314038,-0.314038,4,1378859.24,1
2009,000004,2009-06-01,568786.95,0.189706,0.189706,4,2142864.36,1
2010,000004,2010-06-01,592691.47,-0.063333,-0.063333,4,2400832.35,1
2011,000004,2011-06-01,1029173.05,-0.000814,-0.000814,4,3388720.185,1
2012,000004,2012-06-01,710425.14,-0.097977,-0.097977,4,2520976.5300000003,1
2013,000004,2013-06-01,838754.59,-0.147485,-0.147485,4,2494599.06,1
2014,000004,2014-06-01,1164191.37,0.055513,0.055513,4,3496611.82,1
2015,000004,2015-06-01,3229205.17,0.138716,0.138716,4,8414587.47,1
2017,000004,2017-06-01,2128018.49,-0.2875,-0.2875,4,5528310.125,1
2018,000004,2018-06-01,1627058.41,-0.13082,-0.13082,4,4026835.105,1
2019,000004,2019-06-01,1759851.18,-0.013023,-0.013023,4,4378639.125,1
2020,000004,2020-06-01,2504193.21,0.033241,0.033241,4,4823275.33,1
2006,000005,2006-06-01,1503277.46,0.148571,0.148571,4,666109.13,2
2008,000005,2008-06-01,2783312.67,-0.192389,-0.192389,4,1378859.24,2
2009,000005,2009-06-01,3056615.73,0.03202,0.03202,4,2142864.36,2
2010,000005,2010-06-01,3499635.72,-0.12156,-0.12156,4,2400832.35,2
2012,000005,2012-06-01,2750366.45,-0.147309,-0.147309,4,2520976.5300000003,2
2013,000005,2013-06-01,2083334.06,-0.170909,-0.170909,4,2494599.06,1
2014,000005,2014-06-01,2065059.2,0.004444,0.004444,4,3496611.82,1
2015,000005,2015-06-01,8388160.8,-0.419722,-0.419722,4,8414587.47,1
2016,000005,2016-06-01,6889622.27,0.084892,0.084892,4,6419702.33,2
2017,000005,2017-06-01,4984405.69,0.007692,0.007692,4,5528310.125,1
2018,000005,2018-06-01,2815618.48,-0.139535,-0.139535,4,4026835.105,1
2019,000005,2019-06-01,3216156.58,0.0033,0.0033,4,4378639.125,1
2020,000005,2020-06-01,2782398.62,0.023346,0.023346,4,4823275.33,1
2006,000006,2006-06-01,1503403.49,0.020248,0.017544,4,666109.13,2
2007,000006,2007-06-01,5443212.09,-0.063205,-0.063205,4,1683360.0,2
2008,000006,2008-06-01,3562014.87,-0.33391,-0.33391,4,1378859.24,2
