code,date,type,递延所得税资产,递延所得税负债,优先股账面值,所有者权益合计,book_equity
000001,2006-12-31,A,1002643480.0,233812075.0,0.0,6474463247.0,5705631842.0
000001,2007-12-31,A,994389000.0,98544000.0,0.0,13006063000.0,12110218000.0
000001,2008-12-31,A,1811816000.0,341679000.0,0.0,16400790000.0,14930653000.0
000001,2009-12-31,A,1582934000.0,94525000.0,0.0,20469609000.0,18981200000.0
000001,2010-12-31,A,1954568000.0,15425000.0,0.0,33197535000.0,31258392000.0
000001,2011-12-31,A,2889762000.0,1351062000.0,0.0,75380584000.0,73841884000.0
000001,2012-12-31,A,3449641000.0,1271902000.0,0.0,84798775000.0,82621036000.0
000001,2013-12-31,A,4406000000.0,0.0,0.0,112081000000.0,107675000000.0
000001,2014-12-31,A,6834000000.0,0.0,0.0,130949000000.0,124115000000.0
000001,2015-12-31,A,8728000000.0,0.0,0.0,161500000000.0,152772000000.0
000001,2016-12-31,A,17831000000.0,0.0,19953000000.0,202171000000.0,164387000000.0
000001,2017-12-31,A,24989000000.0,0.0,19953000000.0,222054000000.0,177112000000.0
000001,2018-12-31,A,29468000000.0,0.0,19953000000.0,240042000000.0,190621000000.0
000001,2019-12-31,A,34725000000.0,0.0,19953000000.0,312983000000.0,258305000000.0
000001,2020-12-31,A,39034000000.0,2000000.0,19953000000.0,364131000000.0,305146000000.0
000002,2006-12-31,A,0.0,0.0,0.0,17005996136.02,17005996136.02
000002,2007-12-31,A,604057419.26,991004610.53,0.0,33919523029.04,34306470220.31
000002,2008-12-31,A,1449480632.53,867797927.6,0.0,38818549481.2,38236866776.27
000002,2009-12-31,A,1265649477.66,802464465.02,0.0,45408512454.07,44945327441.42999
000002,2010-12-31,A,1643158028.39,738993358.99,0.0,54586199642.41,53682034973.01
000002,2011-12-31,A,2326241907.17,778906118.75,0.0,67832538547.03,66285202758.61
000002,2012-12-31,A,3054857904.42,733812757.71,0.0,82138194988.1,79817149841.39001
000002,2013-12-31,A,3525262051.95,672715687.44,0.0,105439423398.63,102586877034.12001
000002,2014-12-31,A,4016200314.84,590299321.85,0.0,115893616919.97,112467715926.98001
000002,2015-12-31,A,5166540813.69,558430814.88,0.0,136309617321.02,131701507322.21
000002,2016-12-31,A,7198532974.16,504048203.85,0.0,161676571281.0,154982086510.69
000002,2017-12-31,A,9651001968.26,265299666.71,0.0,186673939158.29,177288236856.74
000002,2018-12-31,A,15749204673.5,538912419.39,0.0,235620729997.58,220410437743.47
000002,2019-12-31,A,23427586089.92,282328350.36,0.0,270579115412.96,247433857673.39996
000002,2020-12-31,A,27535430502.86,231470922.38,0.0,349844473343.22,322540513762.74
000004,2006-12-31,A,0.0,0.0,0.0,112282767.73,112282767.73
000004,2007-12-31,A,0.0,0.0,0.0,97786636.58,97786636.58
000004,2008-12-31,A,0.0,0.0,0.0,85282445.09,85282445.09
000004,2009-12-31,A,0.0,0.0,0.0,89814978.73,89814978.73
000004,2010-12-31,A,0.0,0.0,0.0,129216251.73,129216251.73
000004,2011-12-31,A,0.0,0.0,0.0,138409319.55,138409319.55
000004,2012-12-31,A,0.0,0.0,0.0,148055837.92,148055837.92
000004,2013-12-31,A,0.0,0.0,0.0,144506815.2,144506815.2
000004,2014-12-31,A,117782.38,0.0,0.0,157384459.35,157266676.97
000004,2015-12-31,A,101063.14,0.0,0.0,163295984.7,163194921.56
000004,2016-12-31,A,0.0,0.0,0.0,178199802.08,178199802.08
000004,2017-12-31,A,767630.66,3463150.34,0.0,184092043.49,186787563.17000002
000004,2018-12-31,A,2132670.07,0.0,0.0,183326601.73,181193931.66
000004,2019-12-31,A,1615837.92,3044062.5,0.0,1404457047.19,1405885271.77
000005,2006-12-31,A,0.0,0.0,0.0,701694570.71,701694570.71
000005,2007-12-31,A,1686710.05,0.0,0.0,750359915.45,748673205.4000001
000005,2008-12-31,A,1643631.78,0.0,0.0,751958840.55,750315208.77
000005,2009-12-31,A,2164920.96,0.0,0.0,702377193.47,700212272.51
000005,2010-12-31,A,4160653.14,0.0,0.0,675315022.53,671154369.39
000005,2011-12-31,A,3877430.61,0.0,0.0,659936595.87,656059165.26
000005,2012-12-31,A,0.0,0.0,0.0,682099361.53,682099361.53
000005,2013-12-31,A,0.0,0.0,0.0,624244271.48,624244271.48
000005,2014-12-31,A,0.0,0.0,0.0,669715028.8,669715028.8
000005,2015-12-31,A,13100085.7,3391500.0,0.0,1213199124.91,1203490539.21
000005,2016-12-31,A,25012679.42,3049500.0,0.0,1355334901.03,1333371721.61
000005,2017-12-31,A,32200446.29,2707500.0,0.0,1404367908.37,1374874962.08
000005,2018-12-31,A,38856191.83,2365500.0,0.0,1579315571.27,1542824879.44
000005,2019-12-31,A,40144298.2,2300806.06,0.0,1742285504.28,1704442012.1399999
000006,2006-12-31,A,0.0,0.0,0.0,1326413366.01,1326413366.01
000006,2007-12-31,A,53407162.12,55951109.54,0.0,1796273226.8,1798817174.22
000006,2008-12-31,A,82575180.07,2863761.84,0.0,1677691792.04,1597980373.81
000006,2009-12-31,A,166058362.68,65174354.14,0.0,2191957762.94,2091073754.3999999
000006,2010-12-31,A,179234463.0,51104331.66,0.0,2558318520.41,2430188389.0699997
000006,2011-12-31,A,263632028.34,37777013.27,0.0,2888929690.93,2663074675.8599997
000006,2012-12-31,A,343562057.54,67722020.54,0.0,3548961831.39,3273121794.39
000006,2013-12-31,A,206206629.19,100418667.24,0.0,4186908808.12,4081120846.1699996
000006,2014-12-31,A,267173528.4,5305366.17,0.0,4214465816.44,3952597654.21
000006,2015-12-31,A,242111047.2,5400007.97,0.0,4495125152.9,4258414113.67
000006,2016-12-31,A,272243730.2,1949584.5,0.0,5129875625.74,4859581480.04
000006,2017-12-31,A,316563358.28,2626138.66,0.0,5707359023.06,5393421803.440001
000006,2018-12-31,A,358687410.08,2009535.27,0.0,6386137355.96,6029459481.150001
000006,2019-12-31,A,428590113.79,2067968.07,0.0,7170228545.8,6743706400.08
000006,2020-12-31,A,471775211.41,2970907.27,0.0,7837998167.59,7369193863.450001
000007,2006-12-31,A,0.0,0.0,0.0,17128566.88,17128566.88
000007,2007-12-31,A,202832.24,0.0,0.0,-8355160.36,-8557992.6
000007,2008-12-31,A,404752.62,0.0,0.0,-74874707.08,-75279459.7
000007,2009-12-31,A,247732.4,0.0,0.0,-54453997.23,-54701729.629999995
000007,2010-12-31,A,226153.02,0.0,0.0,-32753839.18,-32979992.2
000007,2011-12-31,A,232093.36,0.0,0.0,292316699.44,292084606.08
000007,2012-12-31,A,1483467.31,0.0,0.0,296794578.85,295311111.54
000007,2013-12-31,A,517888.93,0.0,0.0,353245479.71,352727590.78
000007,2014-12-31,A,894592.93,0.0,0.0,357966239.07,357071646.14
000007,2015-12-31,A,708490.47,0.0,0.0,372836127.71,372127637.23999995
000007,2016-12-31,A,2605327.23,451288.98,0.0,437232053.68,435078015.43
000007,2017-12-31,A,2968946.05,0.0,0.0,390427081.55,387458135.5
000007,2018-12-31,A,9421241.52,0.0,0.0,194226880.06,184805638.54
000007,2019-12-31,A,417574.31,6153656.71,0.0,212804351.06,218540433.46
000008,2006-12-31,A,0.0,0.0,0.0,71529785.43,71529785.43
000008,2007-12-31,A,0.0,0.0,0.0,73212022.33,73212022.33
000008,2008-12-31,A,0.0,0.0,0.0,73960059.47,73960059.47
000008,2009-12-31,A,0.0,0.0,0.0,73326223.8,73326223.8
000008,2010-12-31,A,0.0,0.0,0.0,74400385.41,74400385.41
000008,2011-12-31,A,0.0,0.0,0.0,73860933.59,73860933.59
000008,2012-12-31,A,2724062.54,0.0,0.0,540826405.7,538102343.1600001
000008,2013-12-31,A,2706250.92,0.0,0.0,563584359.64,560878108.72
000008,2014-12-31,A,3138479.36,696318.99,0.0,598350762.28,595908601.91
