code,year,date,circulate,return1,return2,type,BE,BM_ratio
600259,2006,2006-12-01,193930.0,0.040609,0.040609,1,1039268.17,0.005358986077450627
000545,2006,2006-12-01,212299.22,-0.078189,-0.078189,4,2142834.21,0.010093462472448085
600862,2006,2006-12-01,413603.3,0.414226,0.414226,1,8258111.8,0.01996626187460303
000007,2006,2006-12-01,292657.04,-0.05098,-0.05098,4,17128566.88,0.05852778009372335
600892,2006,2006-12-01,91705.1,-0.099248,-0.099248,1,5400928.57,0.05889452789430468
600800,2006,2006-12-01,1489295.64,0.044037,0.044037,1,106724714.51,0.07166120120381203
600735,2006,2006-12-01,257896.13,-0.034375,-0.034375,1,18714055.19,0.07256431180258502
600248,2006,2006-12-01,165120.0,0.002915,0.002915,1,20244054.54,0.12260207449127906
000498,2006,2006-12-01,468482.99,-0.042857,-0.042857,4,58672700.75,0.12523976751002208
600198,2006,2006-12-01,2843138.58,-0.036787,-0.036787,1,389039909.8,0.13683466312078252
600858,2006,2006-12-01,1591065.9,0.198352,0.198352,1,263357158.15,0.16552247028234343
600847,2006,2006-12-01,179537.33,0.011236,0.011236,1,31711791.17,0.17663062701222082
000885,2006,2006-12-01,246000.0,0.19186,0.19186,4,43945326.7,0.17863953943089433
600136,2006,2006-12-01,140901.33,0.012945,0.012945,1,25863115.82,0.18355480264096868
600804,2006,2006-12-01,1135586.24,-0.026644,-0.026644,1,225418516.72,0.19850409311053294
002008,2006,2006-12-01,2631626.62,0.196759,0.196759,4,568717519.06,0.2161087423032679
600118,2006,2006-12-01,1891296.0,0.060768,0.060768,1,417711518.29,0.22085993852363672
600643,2006,2006-12-01,2685751.72,0.150594,0.150594,1,596765612.63,0.22219686510337597
000793,2006,2006-12-01,9882378.99,0.297842,0.297842,4,2219699931.1,0.22461190097507078
002022,2006,2006-12-01,1770685.28,0.166889,0.166889,4,398022749.02,0.2247845811538005
600519,2006,2006-12-01,26552591.35,0.296384,0.296384,1,5995028649.43,0.2257794190558354
600143,2006,2006-12-01,5380721.23,0.337563,0.337563,1,1269116761.26,0.2358636894593404
000010,2006,2006-12-01,364052.95,0.140127,0.140127,4,86444211.11,0.2374495553737444
600161,2006,2006-12-01,2946645.0,0.156425,0.156425,1,708353894.18,0.24039336064575134
002024,2006,2006-12-01,13356578.3,0.297143,0.297143,4,3212093431.03,0.24048774760149463
600828,2006,2006-12-01,544964.39,-0.082559,-0.082559,1,132271765.26,0.24271634566801695
000538,2006,2006-12-01,4645525.35,0.112651,0.112651,4,1146446080.54,0.2467850230415813
600309,2006,2006-12-01,11131192.22,0.212106,0.212106,1,2819764253.19,0.2533209558742127
000560,2006,2006-12-01,507747.72,-0.021875,-0.021875,4,128867675.98,0.25380256947288704
002007,2006,2006-12-01,2317566.48,0.197293,0.197293,4,588301388.53,0.25384445003277745
600647,2006,2006-12-01,233520.06,-0.012346,-0.012346,1,60372195.8,0.25853109064805824
600517,2006,2006-12-01,1175781.25,0.092956,0.092956,1,304384105.91,0.25887817645501665
600879,2006,2006-12-01,5318721.1,0.028743,0.028743,1,1378529421.2,0.25918437821452983
000430,2006,2006-12-01,322713.72,0.028436,0.028436,4,84232170.59,0.26101205300474983
000568,2006,2006-12-01,8437067.89,0.354356,0.354356,4,2207418013.21,0.2616333117132236
600415,2006,2006-12-01,4445231.67,0.151648,0.148768,1,1179336866.3,0.2653038027824543
600583,2006,2006-12-01,10895588.35,0.229869,0.229869,1,3016601597.55,0.2768644978726642
000563,2006,2006-12-01,1116965.85,0.16341,0.16341,4,310974203.57,0.2784097683648967
600737,2006,2006-12-01,3059326.25,0.132331,0.132331,1,852211992.84,0.2785619849599238
000001,2006,2006-12-01,20393467.63,0.143874,0.143874,4,5705631842.0,0.279777424100582
000922,2006,2006-12-01,637925.0,0.276882,0.276882,4,181064034.46,0.28383279297723085
000423,2006,2006-12-01,3932635.96,0.025468,0.025468,4,1122438029.24,0.2854162044635324
600030,2006,2006-12-01,46944881.12,0.464955,0.464955,1,13599092444.28,0.28968211485120493
000848,2006,2006-12-01,1719951.2,0.341837,0.341837,4,510478347.74,0.296798157843083
600887,2006,2006-12-01,9829260.91,0.290794,0.290794,1,2957444804.91,0.3008817073826154
600016,2006,2006-12-01,62358020.75,0.442716,0.442716,1,18805998000.0,0.30158106004350693
600616,2006,2006-12-01,3469079.67,0.057839,0.057839,1,1057993235.22,0.3049780736860391
000718,2006,2006-12-01,1584153.26,0.316614,0.316614,4,485734185.93,0.3066207028037174
000918,2006,2006-12-01,398400.0,0.136986,0.136986,4,124249909.68,0.31187226325301204
600276,2006,2006-12-01,4026048.0,0.387527,0.387527,1,1256897708.69,0.3121914365377661
600773,2006,2006-12-01,241279.76,0.038806,0.038806,1,75947256.17,0.3147684504079414
000829,2006,2006-12-01,2626315.19,0.478873,0.478873,4,827984390.12,0.31526466940169506
000979,2006,2006-12-01,202967.01,0.435644,0.435644,4,64975219.77,0.3201269988162116
000623,2006,2006-12-01,6344573.81,0.677648,0.677648,4,2063885893.82,0.3252993748085973
600653,2006,2006-12-01,4322291.29,0.042105,0.042105,1,1411809347.63,0.3266344753062675
600132,2006,2006-12-01,2712443.8,0.028267,0.028267,1,891240506.9,0.3285747365161999
600739,2006,2006-12-01,5305211.37,0.348714,0.348714,1,1745795034.47,0.3290717207503082
002029,2006,2006-12-01,1122840.58,0.337838,0.337838,4,374166019.73,0.3332316505073232
600547,2006,2006-12-01,2368500.0,-0.008477,-0.008477,1,790868773.09,0.3339112404855394
000002,2006,2006-12-01,50245691.29,0.288815,0.288815,4,17005996136.02,0.3384568049400998
000069,2006,2006-12-01,10782128.65,0.143377,0.143377,4,3652432165.64,0.3387487094804791
600505,2006,2006-12-01,437629.5,0.153425,0.153425,1,150194872.44,0.3432009780876289
600797,2006,2006-12-01,4115985.25,0.311111,0.311111,1,1417505854.4,0.3443904116031514
000578,2006,2006-12-01,257979.47,0.027397,0.027397,4,89370477.26,0.34642476496288643
000762,2006,2006-12-01,1569732.82,0.072853,0.072853,4,545796926.59,0.3477005256155631
000567,2006,2006-12-01,295596.0,-0.07565,-0.07565,4,104177739.36,0.35243284537003206
000851,2006,2006-12-01,879320.52,-0.042763,-0.042763,4,310187231.68,0.3527578677226821
000537,2006,2006-12-01,1702247.72,0.233202,0.233202,4,602985155.92,0.3542287933979433
600501,2006,2006-12-01,1732320.0,-0.170345,-0.170345,1,615047744.62,0.35504280076429295
000533,2006,2006-12-01,1277234.11,0.418552,0.418552,4,458281017.21,0.3588073741704252
000402,2006,2006-12-01,10985262.63,0.229927,0.229927,4,3996058356.72,0.3637653910801402
600125,2006,2006-12-01,3298652.78,0.052163,0.052163,1,1202119466.32,0.3644274030927256
600779,2006,2006-12-01,3210383.17,0.162234,0.162234,1,1170440010.6,0.36457953727685405
600770,2006,2006-12-01,2070643.5,-0.105342,-0.105342,1,755654383.9,0.36493697920477375
000777,2006,2006-12-01,822395.03,0.195876,0.195876,4,303546216.22,0.3691002561384643
600066,2006,2006-12-01,3682634.83,0.314371,0.314371,1,1362309337.47,0.36992789140323207
000862,2006,2006-12-01,442217.11,-0.055556,-0.055556,4,163939090.11,0.3707208210690898
600765,2006,2006-12-01,462403.5,-0.115021,-0.115021,1,171672578.86,0.37126141748494557
000819,2006,2006-12-01,927436.25,-0.031556,-0.031556,4,344423672.06,0.37137180270881154
600859,2006,2006-12-01,4820600.61,0.527894,0.513304,1,1797658066.85,0.3729116374256111
600570,2006,2006-12-01,1022574.77,0.188776,0.188776,1,381695485.19,0.3732690228510136
000838,2006,2006-12-01,252895.5,0.392271,0.392271,4,94471293.29,0.37355861725495315
600693,2006,2006-12-01,1060945.34,0.332667,0.332667,1,398335304.66,0.37545318278131085
000759,2006,2006-12-01,2454391.96,0.183206,0.183206,4,926817446.71,0.3776159072449048
600880,2006,2006-12-01,1344824.78,0.022183,0.022183,1,512073738.04,0.3807735741157298
600809,2006,2006-12-01,3160666.91,0.361001,0.361001,1,1205813690.8,0.38150609511712197
000803,2006,2006-12-01,315370.88,0.157025,0.157025,4,121803228.28,0.38622217840784795
600596,2006,2006-12-01,2944340.45,0.143396,0.143396,1,1144700355.1,0.38877988960142157
