"MarkettypeID","TradingDate","RiskPremium1","SMB1","HML1"
"P9706","1990-12-19","2.473374","",""
"P9710","1990-12-19","2.473374","",""
"P9709","1990-12-19","2.473374","",""
"P9712","1990-12-19","2.473374","",""
"P9713","1990-12-19","2.473374","",""
"P9714","1990-12-19","2.473374","",""
"P9715","1990-12-19","2.473374","",""
"P9706","1990-12-20","0.038937","",""
"P9710","1990-12-20","0.038937","",""
"P9709","1990-12-20","0.038937","",""
"P9712","1990-12-20","0.038937","",""
"P9713","1990-12-20","0.038937","",""
"P9714","1990-12-20","0.038937","",""
"P9715","1990-12-20","0.038937","",""
"P9710","1990-12-21","0.032358","",""
"P9706","1990-12-21","0.032358","",""
"P9709","1990-12-21","0.032358","",""
"P9712","1990-12-21","0.032358","",""
"P9713","1990-12-21","0.032358","",""
"P9714","1990-12-21","0.032358","",""
"P9715","1990-12-21","0.032358","",""
"P9706","1990-12-24","0.040570","",""
"P9710","1990-12-24","0.040570","",""
"P9709","1990-12-24","0.040570","",""
"P9712","1990-12-24","0.040570","",""
"P9713","1990-12-24","0.040570","",""
"P9714","1990-12-24","0.040570","",""
"P9715","1990-12-24","0.040570","",""
"P9710","1990-12-25","0.041140","",""
"P9706","1990-12-25","0.041140","",""
"P9709","1990-12-25","0.041140","",""
"P9712","1990-12-25","0.041140","",""
"P9713","1990-12-25","0.041140","",""
"P9714","1990-12-25","0.041140","",""
"P9715","1990-12-25","0.041140","",""
"P9710","1990-12-26","-0.159132","",""
"P9706","1990-12-26","-0.159132","",""
"P9709","1990-12-26","-0.159132","",""
"P9712","1990-12-26","-0.159132","",""
"P9713","1990-12-26","-0.159132","",""
"P9714","1990-12-26","-0.159132","",""
"P9715","1990-12-26","-0.159132","",""
"P9706","1990-12-27","0.000097","",""
"P9710","1990-12-27","0.000097","",""
"P9709","1990-12-27","0.000097","",""
"P9712","1990-12-27","0.000097","",""
"P9713","1990-12-27","0.000097","",""
"P9714","1990-12-27","0.000097","",""
"P9715","1990-12-27","0.000097","",""
"P9710","1990-12-28","0.008106","",""
"P9706","1990-12-28","0.008106","",""
"P9709","1990-12-28","0.008106","",""
